number,time,device
100,0.000446319580078125,pyCuda
1000,0.00013065338134765625,pyCuda
10000,0.00012230873107910156,pyCuda
100000,0.0003314018249511719,pyCuda
1000000,0.0018994808197021484,pyCuda
10000000,0.017564773559570312,pyCuda
100000000,0.15199494361877441,pyCuda
1000000000,9.574563026428223,pyCuda
100,0.0008323192596435547,pyOpenCL
1000,0.00027489662170410156,pyOpenCL
10000,0.0002732276916503906,pyOpenCL
100000,0.0005733966827392578,pyOpenCL
1000000,0.0033273696899414062,pyOpenCL
10000000,0.03647184371948242,pyOpenCL
100000000,0.35423994064331055,pyOpenCL
1000000000,17.87505006790161,pyOpenCL
